,Company Name,Rating,Reviews,Salaries,Interviews,Jobs
48,Maruti Suzuki,4.3,6.6k Reviews,25k Salaries,https://www.ambitionbox.com/interviews/maruti-suzuki-interviews,1 Jobs
49,Shriram Finance,4.1,6.5k Reviews,12.9k Salaries,https://www.ambitionbox.com/interviews/shriram-finance-interviews,56 Jobs
50,Yes Bank,3.9,6.4k Reviews,40.2k Salaries,https://www.ambitionbox.com/interviews/yes-bank-interviews,73 Jobs
51,Asian Paints,4.1,6.4k Reviews,21.6k Salaries,https://www.ambitionbox.com/interviews/asian-paints-interviews,14 Jobs
52,Cipla,4.1,6.2k Reviews,23.9k Salaries,https://www.ambitionbox.com/interviews/cipla-interviews,46 Jobs
53,Dr. Reddy's,4.2,6.1k Reviews,23.6k Salaries,https://www.ambitionbox.com/interviews/dr-dot-reddys-interviews,157 Jobs
54,Sutherland Global Services,3.7,6.1k Reviews,27.4k Salaries,https://www.ambitionbox.com/interviews/sutherland-global-services-interviews,263 Jobs
55,Paytm,3.5,6.1k Reviews,30.5k Salaries,https://www.ambitionbox.com/interviews/paytm-interviews,91 Jobs
56,Bandhan Bank,3.8,6k Reviews,19.3k Salaries,https://www.ambitionbox.com/interviews/bandhan-bank-interviews,3 Jobs
57,UltraTech Cement,4.2,6k Reviews,21k Salaries,https://www.ambitionbox.com/interviews/ultratech-cement-interviews,4 Jobs
58,EXL Service,3.8,5.9k Reviews,37.2k Salaries,https://www.ambitionbox.com/interviews/exl-service-interviews,81 Jobs
59,NTT DATA,4.0,5.9k Reviews,51.4k Salaries,https://www.ambitionbox.com/interviews/ntt-data-interviews,125 Jobs
60,ICICI Prudential Life Insurance,4.2,5.7k Reviews,22.1k Salaries,https://www.ambitionbox.com/interviews/icici-prudential-life-insurance-interviews,286 Jobs
61,Bajaj Finance,4.1,5.7k Reviews,19.7k Salaries,https://www.ambitionbox.com/interviews/bajaj-fainance-interviews,33 Jobs
62,Jana Small Finance Bank,3.9,5.6k Reviews,14.4k Salaries,https://www.ambitionbox.com/interviews/jana-small-finance-bank-interviews,115 Jobs
63,Lupin,4.1,5.5k Reviews,22.5k Salaries,https://www.ambitionbox.com/interviews/lupin-interviews,29 Jobs
64,Indian Army,4.7,5.4k Reviews,9.8k Salaries,https://www.ambitionbox.com/interviews/indian-army-interviews,-- Jobs
65,HCL Group,3.8,5.4k Reviews,66k Salaries,https://www.ambitionbox.com/interviews/hcl-interviews,-- Jobs
66,Quess,4.0,5.4k Reviews,23.4k Salaries,https://www.ambitionbox.com/interviews/quess-interviews,114 Jobs
67,Tata Steel,4.2,5.3k Reviews,24.6k Salaries,https://www.ambitionbox.com/interviews/tata-steel-interviews,60 Jobs
68,L&T Infotech,3.8,5.3k Reviews,73.5k Salaries,https://www.ambitionbox.com/interviews/larsen-and-toubro-infotech-interviews,2 Jobs
69,Wells Fargo,4.1,5.3k Reviews,47k Salaries,https://www.ambitionbox.com/interviews/wells-fargo-interviews,63 Jobs
70,Zydus Lifesciences,4.1,5.2k Reviews,17.8k Salaries,https://www.ambitionbox.com/interviews/zydus-lifesciences-interviews,142 Jobs
